StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q0.1,Q0.2_1,Q0.3_1,Q0.4,Q0.5,Q0.6,Q1.0,Q1.1,Q1.2_1,Q1.2_2,Q1.2_3,Q1.2_4,Q1.2_5,Q1.3,Q2.0,"Q2.1 ",Q2.2_1,Q2.2_2,Q2.2_3,Q2.2_4,Q2.2_5,Q2.3,Q3.0,Q3.1,Q3.2_1,Q3.2_2,Q3.2_3,Q3.2_4,Q3.2_5,Q3.3,Q4.0,Q4.1,Q4.2_1,Q4.2_2,Q4.2_3,Q4.2_4,Q4.2_5,Q4.3,Q.5.1,Q.5.2,Q6.0
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"By proceeding, I agree to participate in this research study. Participation is voluntary.","How familiar are you with robots — building, programming, or regularly using them? - 1","How familiar are you with games where you compete against an AI or computer opponent? (e.g., chess apps, sports video games, etc.) - 1","In this study, you will try to score a goal against four robots that will try to block the ball.

You will have four attempts to try and score.",How difficult do you expect it to be to score a goal against the robots?,How competent do you expect the robots will be at blocking shots?,"You will now take your first shot on goal.
Before you do, please ask the researcher for the trial type, and enter it below. Then, press ""Next page"".","Take your first shot.
Did you just score a goal?","Based on what you can tell about the robots, how would you describe them? - Incompetent:Competent","Based on what you can tell about the robots, how would you describe them? - Ignorant:Knowledgeable","Based on what you can tell about the robots, how would you describe them? - Irresponsible:Responsible","Based on what you can tell about the robots, how would you describe them? - Unintelligent:Intelligent","Based on what you can tell about the robots, how would you describe them? - Foolish:Sensible",How coordinated did the robots seem?,"You will now take your second shot on goal.
Before you do, please ask the researcher for the trial type, and enter it below. Then, press ""Next page"".","Take your second shot.
Did you just score a goal?","Based on what you can tell about the robots, how would you describe them? - Incompetent:Competent","Based on what you can tell about the robots, how would you describe them? - Ignorant:Knowledgeable","Based on what you can tell about the robots, how would you describe them? - Irresponsible:Responsible","Based on what you can tell about the robots, how would you describe them? - Unintelligent:Intelligent","Based on what you can tell about the robots, how would you describe them? - Foolish:Sensible",How coordinated did the robots seem?,"You will now take your third shot on goal.
Before you do, please ask the researcher for the trial type, and enter it below. Then, press ""Next page"".","Take your third shot.
Did you just score a goal?","Based on what you can tell about the robots, how would you describe them? - Incompetent:Competent","Based on what you can tell about the robots, how would you describe them? - Ignorant:Knowledgeable","Based on what you can tell about the robots, how would you describe them? - Irresponsible:Responsible","Based on what you can tell about the robots, how would you describe them? - Unintelligent:Intelligent","Based on what you can tell about the robots, how would you describe them? - Foolish:Sensible",How coordinated did the robots seem?,"You will now take your fourth shot on goal.
Before you do, please ask the researcher for the trial type, and enter it below. Then, press ""Next page"".","Take your fourth shot.
Did you just score a goal?","Based on what you can tell about the robots, how would you describe them? - Incompetent:Competent","Based on what you can tell about the robots, how would you describe them? - Ignorant:Knowledgeable","Based on what you can tell about the robots, how would you describe them? - Irresponsible:Responsible","Based on what you can tell about the robots, how would you describe them? - Unintelligent:Intelligent","Based on what you can tell about the robots, how would you describe them? - Foolish:Sensible",How coordinated did the robots seem?,"Across all four shots you took, how competent were the robots at blocking shots?","Across all four shots you took, how difficult was it to score a goal?","You're done! Thank you!

If you have further questions, contact the research team at graham.kaegi@tufts.edu"
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID27""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID14_TEXT""}","{""ImportId"":""QID43""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID12_2""}","{""ImportId"":""QID12_3""}","{""ImportId"":""QID12_4""}","{""ImportId"":""QID12_5""}","{""ImportId"":""QID53""}","{""ImportId"":""QID46_TEXT""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48_1""}","{""ImportId"":""QID48_2""}","{""ImportId"":""QID48_3""}","{""ImportId"":""QID48_4""}","{""ImportId"":""QID48_5""}","{""ImportId"":""QID54""}","{""ImportId"":""QID49_TEXT""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51_1""}","{""ImportId"":""QID51_2""}","{""ImportId"":""QID51_3""}","{""ImportId"":""QID51_4""}","{""ImportId"":""QID51_5""}","{""ImportId"":""QID55""}","{""ImportId"":""QID56_TEXT""}","{""ImportId"":""QID57""}","{""ImportId"":""QID58_1""}","{""ImportId"":""QID58_2""}","{""ImportId"":""QID58_3""}","{""ImportId"":""QID58_4""}","{""ImportId"":""QID58_5""}","{""ImportId"":""QID59""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID26""}"
2025-12-09 13:58:34,2025-12-09 14:28:44,IP Address,130.64.22.2,100,1809,True,2025-12-09 14:28:44,R_77FKFdvkzUBzSUN,,,,,42.415,-71.1061,anonymous,EN,Agree,Extremely familiar,Extremely familiar,,Somewhat difficult,Somewhat competent,3,"Yes, I scored",2,2,3,2,2,Uncoordinated,1,"Yes, I scored",3,3,3,3,4,Somewhat coordinated,2,"Yes, I scored",2,3,3,4,3,Somewhat coordinated,1,"Yes, I scored",2,2,2,2,2,Somewhat uncoordinated,Somewhat incompetent,Somewhat easy,
2025-12-10 14:39:45,2025-12-10 14:41:27,IP Address,130.64.64.40,100,102,True,2025-12-10 14:41:27,R_3eWcaF9n3OfARB9,,,,,42.415,-71.1061,anonymous,EN,Agree,Not familiar at all,Slightly familiar,,Somewhat difficult,Neither competent nor incompetent,GrayTest,"Yes, I scored",5,3,2,4,1,Somewhat uncoordinated,Graytest,"Yes, I scored",1,1,1,1,1,Somewhat uncoordinated,graytest,"Yes, I scored",1,1,1,1,1,Somewhat coordinated,graytest,"No, I did not score",2,2,2,2,2,Neutral,Neither incompetent nor competent,Somewhat difficult,
2025-12-10 14:53:20,2025-12-10 15:28:36,IP Address,130.64.64.40,100,2115,True,2025-12-10 15:28:36,R_6uJak08CzkQnzoZ,,,,,42.415,-71.1061,anonymous,EN,Agree,Very familiar,Not familiar at all,,Neither easy nor difficult,Somewhat incompetent,CLF1,"Yes, I scored",1,2,4,2,2,Somewhat coordinated,NCR2,"Yes, I scored",1,1,3,3,2,Somewhat coordinated,NCF3,"Yes, I scored",5,4,5,4,5,Coordinated,CRF4,"Yes, I scored",1,1,1,1,2,Uncoordinated,Somewhat incompetent,Easy,
2025-12-10 15:28:53,2025-12-10 15:34:14,IP Address,130.64.64.40,100,320,True,2025-12-10 15:34:14,R_7CBh4CMldPv6Prc,,,,,42.415,-71.1061,anonymous,EN,Agree,Very familiar,Extremely familiar,,Easy,Somewhat competent,NCR1,"Yes, I scored",2,2,4,4,2,Somewhat coordinated,CLR2,"Yes, I scored",2,3,4,3,2,Somewhat uncoordinated,NCF3,"No, I did not score",5,2,4,3,3,Coordinated,CLF4,"Yes, I scored",2,4,1,5,4,Somewhat coordinated,Somewhat competent,Somewhat easy,
2025-12-10 15:36:12,2025-12-10 15:41:49,IP Address,130.64.64.40,100,337,True,2025-12-10 15:41:49,R_3YXa2eN1NpElO9z,,,,,42.415,-71.1061,anonymous,EN,Agree,Extremely familiar,Extremely familiar,,Somewhat easy,Somewhat competent,CLR1,"Yes, I scored",2,2,2,2,2,Somewhat uncoordinated,NCF2,"Yes, I scored",4,4,2,3,3,Somewhat coordinated,CLF3,"Yes, I scored",3,3,5,3,3,Somewhat uncoordinated,NCR4,"Yes, I scored",3,2,1,2,2,Uncoordinated,Somewhat incompetent,Somewhat easy,
2025-12-10 15:42:15,2025-12-10 15:48:40,IP Address,130.64.64.40,100,385,True,2025-12-10 15:48:41,R_6l4ZCGhCFMDQcU4,,,,,42.415,-71.1061,anonymous,EN,Agree,Extremely familiar,Moderately familiar,,Neither easy nor difficult,Somewhat competent,CLR1,"Yes, I scored",2,3,2,3,3,Somewhat uncoordinated,CLF2,"Yes, I scored",4,4,4,4,4,Somewhat coordinated,NCF3,"No, I did not score",5,5,5,5,5,Coordinated,NCR4,"Yes, I scored",4,5,5,5,5,Somewhat coordinated,Somewhat competent,Neither difficult nor easy,
2025-12-10 15:54:26,2025-12-10 16:00:10,IP Address,130.64.64.40,100,343,True,2025-12-10 16:00:10,R_1cwTLl5Qeq8C0J4,,,,,42.415,-71.1061,anonymous,EN,Agree,Extremely familiar,Slightly familiar,,Somewhat difficult,Somewhat incompetent,CLF1,"Yes, I scored",4,2,4,4,5,Coordinated,NCR2,"Yes, I scored",1,1,3,2,1,Somewhat uncoordinated,CLR3,"Yes, I scored",3,2,2,1,2,Somewhat uncoordinated,NCF4,"Yes, I scored",4,4,5,5,4,Coordinated,Incompetent,Easy,
2025-12-10 16:00:26,2025-12-10 16:06:25,IP Address,130.64.64.40,100,359,True,2025-12-10 16:06:26,R_5N2OW1cfwFVy2Dw,,,,,42.415,-71.1061,anonymous,EN,Agree,Very familiar,Very familiar,,Somewhat easy,Somewhat incompetent,CLF1,"Yes, I scored",1,1,3,1,2,Somewhat coordinated,NCR2,"Yes, I scored",1,1,1,1,1,Somewhat uncoordinated,CLR3,"No, I did not score",2,2,3,3,2,Somewhat coordinated,NCF4,"Yes, I scored",2,2,4,3,4,Coordinated,Neither incompetent nor competent,Somewhat easy,
